NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
60610,SUDBURY,Aluminum,2018-08-30T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-09-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-09-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-09-17T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-09-23T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-09-29T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-10-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-10-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-10-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-11-22T00:00,0.045,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-11-28T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-12-04T00:00,0.061,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-12-10T00:00,0.030,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-12-16T00:00,0.010,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-12-22T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2018-12-28T00:00,0.028,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-01-03T00:00,0.022,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-01-09T00:00,0.016,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-01-15T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-01-21T00:00,0.070,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-01-27T00:00,0.023,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-02-02T00:00,0.032,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-02-08T00:00,0.034,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-02-14T00:00,0.064,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-02-20T00:00,0.030,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-02-26T00:00,0.026,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-03-04T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-03-10T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-03-16T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-03-22T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-03-28T00:00,0.010,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-04-03T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-04-09T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-04-15T00:00,0.036,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-04-21T00:00,0.114,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-04-27T00:00,0.026,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-05-03T00:00,0.011,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-05-09T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-05-15T00:00,0.074,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-05-21T00:00,0.059,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-05-27T00:00,0.027,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-06-02T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-06-08T00:00,0.130,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-06-14T00:00,0.035,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-06-20T00:00,0.053,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-06-26T00:00,0.016,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-07-02T00:00,0.028,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-07-08T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-07-14T00:00,0.020,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-07-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-07-26T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-01T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-07T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-13T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-19T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-25T00:00,0.015,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-08-31T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-09-06T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-09-12T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-09-18T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-09-24T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-09-30T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-10-06T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-10-12T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-10-18T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-10-24T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-10-30T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-11-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-11-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-11-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-11-23T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-11-29T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-12-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-12-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-12-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-12-23T00:00,0.018,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Aluminum,2019-12-29T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-01-14T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-01-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-01-26T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-02-01T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-02-07T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-02-13T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-02-19T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-02-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-03-03T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-03-09T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-03-15T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-03-21T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-03-27T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-04-02T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-04-08T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-04-14T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-04-20T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-04-26T00:00,0.007,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-05-02T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-05-08T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-05-14T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-05-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-05-26T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-06-01T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-06-07T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-06-13T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-06-19T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-06-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-01T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-07T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-13T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-19T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-07-31T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-08-06T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-08-12T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-08-18T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-08-24T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-08-30T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-09-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-09-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-09-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-09-23T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-09-29T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-10-05T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-10-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-10-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-11-22T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-11-28T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-12-04T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-12-10T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-12-16T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-12-22T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2018-12-28T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-01-03T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-01-09T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-01-15T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-01-21T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-01-27T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-02-02T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-02-08T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-02-14T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-02-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-02-26T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-03-04T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-03-10T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-03-16T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-03-22T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-03-28T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-04-03T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-04-09T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-04-15T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-04-21T00:00,0.007,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-04-27T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-05-03T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-05-09T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-05-15T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-05-21T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-05-27T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-06-02T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-06-08T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-06-14T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-06-20T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-06-26T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-07-02T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-07-08T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-07-14T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-07-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-07-26T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-01T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-07T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-13T00:00,0.007,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-19T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-08-31T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-09-06T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-09-12T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-09-18T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-09-24T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-09-30T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-10-06T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-10-12T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-10-18T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-10-24T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-10-30T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-11-05T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-11-11T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-11-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-11-23T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-11-29T00:00,0.011,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-12-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-12-11T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-12-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-12-23T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Antimony,2019-12-29T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-01-14T00:00,0.018,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-01-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-01-26T00:00,0.001,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-02-01T00:00,0.012,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-02-07T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-02-13T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-02-19T00:00,0.018,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-02-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-03-03T00:00,0.026,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-03-09T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-03-15T00:00,0.012,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-03-21T00:00,0.021,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-03-27T00:00,0.015,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-04-02T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-04-08T00:00,0.015,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-04-14T00:00,0.002,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-04-20T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-04-26T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-05-02T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-05-08T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-05-14T00:00,0.026,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-05-20T00:00,0.010,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-05-26T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-06-01T00:00,0.009,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-06-07T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-06-13T00:00,0.011,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-06-19T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-06-25T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-01T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-07T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-13T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-19T00:00,0.008,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-25T00:00,0.016,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-07-31T00:00,0.007,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-08-06T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-08-12T00:00,0.019,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-08-18T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-08-24T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-08-30T00:00,0.005,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-09-05T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-09-11T00:00,0.014,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-09-17T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-09-23T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-09-29T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-10-05T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-10-11T00:00,0.019,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-10-17T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-11-22T00:00,0.000,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-11-28T00:00,0.004,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-12-04T00:00,0.003,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-12-10T00:00,0.006,µg/m³,PM2.5,ED-XRF
60610,SUDBURY,Barium,2018-12-16T00:00,0.018,µg/m³,PM2.5,ED-XRF
