NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-03-24T00:00,0.168,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-03-30T00:00,0.052,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-04-05T00:00,0.024,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-04-11T00:00,0.010,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-04-17T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-04-23T00:00,0.006,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-04-29T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-05-05T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-05-11T00:00,0.030,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-05-17T00:00,0.004,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-05-23T00:00,0.014,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-05-29T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-06-04T00:00,0.004,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-06-10T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-06-16T00:00,0.008,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-06-22T00:00,0.006,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-06-28T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-07-04T00:00,0.004,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-07-10T00:00,0.004,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-07-16T00:00,0.006,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-07-22T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-07-28T00:00,0.080,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-08-09T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-08-15T00:00,0.048,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-08-21T00:00,0.026,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-08-27T00:00,0.014,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-09-02T00:00,0.128,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-09-08T00:00,0.012,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-09-14T00:00,0.006,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-09-20T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-09-26T00:00,0.080,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-10-02T00:00,0.054,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-10-08T00:00,0.008,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-10-14T00:00,0.056,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-10-20T00:00,0.022,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-10-26T00:00,0.040,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-11-01T00:00,0.112,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-11-07T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-11-13T00:00,0.004,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-11-19T00:00,0.022,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-11-25T00:00,0.112,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-12-01T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-12-07T00:00,0.022,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-12-13T00:00,0.000,ug/m³,VOC,GC-MS
50129,MONTRÉAL-RIVIÈRE-DES-PRAIRIES,1-Bromopropane,2022-12-19T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-06-04T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-06-10T00:00,0.014,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-06-16T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-06-22T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-06-28T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-07-04T00:00,0.006,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-07-10T00:00,0.000,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-07-16T00:00,0.000,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-07-22T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-07-28T00:00,0.002,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-08-03T00:00,0.010,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-08-09T00:00,0.014,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-08-15T00:00,0.056,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-08-21T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-08-27T00:00,0.010,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-09-02T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-09-08T00:00,0.044,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-09-14T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-09-20T00:00,0.014,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-09-26T00:00,0.032,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-10-08T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-10-14T00:00,0.010,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-10-20T00:00,0.006,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-10-26T00:00,0.008,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-11-13T00:00,0.000,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-11-19T00:00,0.020,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-11-25T00:00,0.024,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-12-01T00:00,0.004,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-12-07T00:00,0.036,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-12-13T00:00,0.014,ug/m³,VOC,GC-MS
50134,MONTRÉAL-MOLSON or MONTRÉAL-SAINT-JOSEPH,1-Bromopropane,2022-12-19T00:00,0.016,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-06-10T00:00,0.002,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-06-16T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-06-28T00:00,0.000,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-07-04T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-07-10T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-07-16T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-07-22T00:00,0.000,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-07-28T00:00,0.002,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-08-03T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-08-09T00:00,0.006,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-08-21T00:00,0.006,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-08-27T00:00,0.034,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-09-02T00:00,0.008,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-09-08T00:00,0.018,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-09-26T00:00,0.026,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-10-02T00:00,0.070,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-10-08T00:00,0.006,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-10-14T00:00,0.010,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-10-20T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-10-26T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-11-01T00:00,0.054,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-11-07T00:00,0.002,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-11-13T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-11-19T00:00,0.016,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-11-25T00:00,0.020,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-12-01T00:00,0.004,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-12-07T00:00,0.024,ug/m³,VOC,GC-MS
50136,MONTRÉAL-ST-DOMINIQUE,1-Bromopropane,2022-12-13T00:00,0.004,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-11-13T00:00,0.000,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-11-19T00:00,0.002,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-11-25T00:00,0.000,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-12-01T00:00,0.000,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-12-07T00:00,0.006,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-12-13T00:00,0.000,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-12-19T00:00,0.000,ug/m³,VOC,GC-MS
50308,QUÉBEC-VIEUX-LIMOILOU (DES SABLES),1-Bromopropane,2022-12-25T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-01-17T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-01-23T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-01-29T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-02-10T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-02-16T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-02-21T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-02-28T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-03-06T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-03-18T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-03-24T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-03-30T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-04-05T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-04-11T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-04-17T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-04-23T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-04-29T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-05-05T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-05-11T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-05-17T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-05-23T00:00,0.008,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-05-29T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-06-04T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-06-10T00:00,0.014,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-06-16T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-06-22T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-07-16T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-07-22T00:00,0.008,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-08-09T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-08-15T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-08-21T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-08-27T00:00,0.016,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-09-02T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-09-08T00:00,0.060,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-09-14T00:00,0.024,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-09-20T00:00,0.032,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-09-26T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-10-02T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-10-08T00:00,0.010,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-10-14T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-10-20T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-11-01T00:00,0.016,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-11-07T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-11-13T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-11-19T00:00,0.002,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-11-25T00:00,0.000,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-12-01T00:00,0.006,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-12-07T00:00,0.044,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-12-13T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-12-19T00:00,0.004,ug/m³,VOC,GC-MS
60211,WINDSOR WEST,1-Bromopropane,2022-12-25T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-01-11T00:00,0.014,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-01-17T00:00,0.016,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-01-23T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-01-29T00:00,0.002,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-02-04T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-02-10T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-02-16T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-02-22T00:00,0.012,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-02-28T00:00,0.012,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-03-06T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-03-12T00:00,0.008,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-03-18T00:00,0.150,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-03-24T00:00,0.006,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-03-30T00:00,0.046,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-04-05T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-04-11T00:00,0.008,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-04-17T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-04-23T00:00,0.108,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-04-29T00:00,0.002,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-05-05T00:00,0.016,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-05-11T00:00,0.078,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-05-17T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-05-23T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-05-29T00:00,0.006,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-06-04T00:00,0.016,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-06-10T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-06-16T00:00,0.008,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-06-22T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-06-28T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-07-04T00:00,0.014,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-07-16T00:00,0.160,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-07-22T00:00,0.008,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-07-28T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-08-03T00:00,0.018,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-08-09T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-08-15T00:00,0.032,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-08-21T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-08-27T00:00,0.020,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-09-08T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-09-14T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-09-20T00:00,0.008,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-09-26T00:00,0.012,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-10-02T00:00,0.148,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-10-08T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-10-14T00:00,0.010,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-10-20T00:00,0.014,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-11-01T00:00,0.072,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-11-07T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-11-13T00:00,0.004,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-11-19T00:00,0.006,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-11-25T00:00,0.020,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-12-01T00:00,0.000,ug/m³,VOC,GC-MS
60438,ROADSIDE - 401W-TORONTO,1-Bromopropane,2022-12-07T00:00,0.046,ug/m³,VOC,GC-MS
